# r Si-Si Si-Ge Ge-Ge
4.129999999999999893e+00 1.259449785403709221e+00 9.907288911329336090e-01 1.223998400668579567e+00
4.149999999999987921e+00 1.102472755981022567e+00 9.134907372242903056e-01 1.329668432757464602e+00
4.169999999999985718e+00 1.232819208544369882e+00 1.030779119902123453e+00 1.101536907205038718e+00
4.190000000000027036e+00 1.186288194605205959e+00 1.001940888031956467e+00 1.234224958410592210e+00
4.210000000000014175e+00 1.212620520452671213e+00 9.508962548244659363e-01 1.164055092958496074e+00
4.230000000000012861e+00 1.113111989783407862e+00 1.041033087170369242e+00 1.056154870680595881e+00
4.250000000000000000e+00 1.099032568883153926e+00 1.025644019387093264e+00 1.141832348817999776e+00
4.269999999999987139e+00 1.052545212109181172e+00 1.033365813387026266e+00 1.117630362390474197e+00
4.289999999999984936e+00 1.099054697714720197e+00 1.039278663022115801e+00 1.190650293644565760e+00
4.309999999999972076e+00 1.112610622667157267e+00 1.030124066807718508e+00 1.152433497748173608e+00
4.330000000000010729e+00 1.042248250892187533e+00 1.093506732616420063e+00 1.028889148766605643e+00
4.350000000000007638e+00 1.064140007236658025e+00 1.063915673159448572e+00 9.839885498870830638e-01
4.369999999999994778e+00 1.005935380541378432e+00 1.100967618198668951e+00 1.190252019703028630e+00
4.389999999999997904e+00 9.837711444094260349e-01 1.128668561376747981e+00 1.113098246931956581e+00
4.409999999999998366e+00 1.019856556319008067e+00 1.127045635048820271e+00 9.955029316342243195e-01
4.429999999999986393e+00 9.438789018899870209e-01 1.045230917044825958e+00 1.003496803896178458e+00
4.450000000000021494e+00 9.896004098764769052e-01 1.039391840784057663e+00 1.009343620979446632e+00
4.470000000000021068e+00 9.136579460823378573e-01 1.070156636335065192e+00 1.036586175958568834e+00
4.490000000000007319e+00 9.182425805214264880e-01 1.166041231053896121e+00 1.133323409820405470e+00
4.509999999999992681e+00 9.413294930678400840e-01 1.044616439632767291e+00 9.333657602346947524e-01
4.529999999999978932e+00 8.779738108382784123e-01 1.124635897337737278e+00 1.000320983477795300e+00
4.549999999999978506e+00 9.136142223906259519e-01 1.138913007935272059e+00 9.637132300465846013e-01
4.570000000000011831e+00 9.207898910251500757e-01 1.138218750321007944e+00 1.011381049342601202e+00
4.589999999999998970e+00 8.113471451608826879e-01 1.184102162125854951e+00 9.640449644529017759e-01
4.609999999999996767e+00 9.217860504915676989e-01 1.178634270568313269e+00 9.549161779748651657e-01
4.630000000000011440e+00 8.749271278502759319e-01 1.199312144663343238e+00 9.914166961879397055e-01
4.649999999999998579e+00 8.656236127407025416e-01 1.234147792547244604e+00 9.728708045516127889e-01
4.669999999999994600e+00 8.473925108325628397e-01 1.189105406023341249e+00 9.289215499387046826e-01
4.690000000000030589e+00 8.620740548523156965e-01 1.140983636415898728e+00 9.857615691950027959e-01
4.710000000000016840e+00 8.648552478401005938e-01 1.183581588598859424e+00 9.404582725193764148e-01
4.730000000000012861e+00 8.637134120228988632e-01 1.222662274763320234e+00 9.973573520980885121e-01
4.750000000000000000e+00 8.271723143201233919e-01 1.205558223023630582e+00 9.849303196526141280e-01
4.769999999999987139e+00 8.543857186878899279e-01 1.215703090354965266e+00 1.003383275616864578e+00
4.789999999999982272e+00 8.563959423159497319e-01 1.238362190199843615e+00 9.497306478520003425e-01
4.809999999999969411e+00 7.671750858276940033e-01 1.219355636755993677e+00 9.643871233635858964e-01
4.830000000000002736e+00 8.501959605799698227e-01 1.226268972378364186e+00 1.040833333177355824e+00
4.849999999999996980e+00 8.563506889689590507e-01 1.309722487539974445e+00 9.906437338119976621e-01
4.869999999999984119e+00 6.829139497507886736e-01 1.242020962527565775e+00 9.932248954974660649e-01
4.890000000000008562e+00 8.408287328074146583e-01 1.226083880678685567e+00 1.002000968250900126e+00
4.910000000000006359e+00 8.136584559179206311e-01 1.262685139300378845e+00 9.722918976840364547e-01
4.929999999999994387e+00 7.991476061349115367e-01 1.195713182224762416e+00 9.130150637683788206e-01
4.950000000000023270e+00 8.262313503123306369e-01 1.238766577266215307e+00 9.687309047396085449e-01
